# Hardware: Arduino UNO R4 Minima + 2x BioAmp EXG Pill
# Sampling Rate: 500 Hz  |  ADC: 14-bit (0-16383)  |  Baud: 230400
# Electrode plan: 2 bipolar channels, 1 shared neck reference
#   Channel1 = LEFT trapezius EMG
#   Channel2 = RIGHT trapezius EMG (slightly higher load in this session)
#   Channel3-6 = unused firmware slots (firmware always emits 6)
# NOTE: Firmware hardcodes NUM_CHANNELS=6 — always 6 columns regardless
#       of how many electrodes are physically wired.
# Counter = 8-bit hardware timer (wraps 0->255->0->...)
#
Counter,Channel1,Channel2,Channel3,Channel4,Channel5,Channel6
0,8216,8248,8195,8194,8191,8193
1,8177,8290,8194,8191,8192,8194
2,8203,8016,8192,8190,8190,8191
3,8262,8147,8191,8192,8191,8191
4,8117,8197,8193,8192,8188,8190
5,8123,8105,8193,8191,8192,8190
6,8267,8252,8194,8193,8192,8198
7,8195,8149,8193,8194,8190,8194
8,8100,8305,8194,8192,8193,8189
9,8198,8189,8191,8195,8194,8189
10,8169,8266,8195,8190,8189,8193
11,8160,8247,8192,8192,8190,8193
12,8256,8163,8196,8191,8190,8193
13,8122,8165,8191,8188,8190,8191
14,8166,8151,8195,8192,8194,8192
15,8297,8304,8192,8192,8192,8193
16,8246,8203,8191,8195,8191,8192
17,8297,8096,8191,8193,8188,8188
18,8213,8159,8191,8190,8193,8192
19,8132,8265,8193,8196,8190,8190
20,8329,8029,8193,8194,8192,8192
21,8182,8229,8191,8193,8193,8198
22,8123,8201,8192,8192,8195,8193
23,8107,8197,8196,8190,8189,8191
24,8114,8202,8195,8191,8186,8194
25,8247,8035,8193,8194,8192,8193
26,8103,8210,8192,8196,8196,8193
27,8235,8291,8192,8195,8194,8193
28,8176,8342,8193,8191,8192,8196
29,8165,8148,8190,8190,8191,8190
30,8197,8277,8191,8192,8194,8193
31,8282,8109,8189,8188,8190,8190
32,8204,8172,8193,8193,8193,8193
33,8043,8209,8193,8192,8193,8190
34,8271,8126,8191,8191,8194,8191
35,8114,8309,8195,8189,8198,8191
36,8211,8114,8190,8193,8193,8194
37,8149,8219,8189,8191,8191,8194
38,8150,8262,8192,8190,8192,8190
39,8348,8155,8194,8186,8188,8192
40,8276,8176,8195,8192,8191,8191
41,8243,8125,8191,8196,8191,8189
42,8154,8148,8194,8195,8191,8192
43,8182,8335,8192,8191,8192,8191
44,8097,7932,8192,8191,8190,8197
45,8184,8147,8194,8193,8194,8193
46,8224,8346,8193,8190,8192,8189
47,8275,8197,8189,8193,8192,8191
48,8224,8259,8195,8194,8191,8194
49,8044,8156,8195,8194,8192,8196
50,8222,8217,8191,8192,8194,8189
51,8201,8206,8193,8192,8190,8188
52,8142,8272,8193,8190,8191,8196
53,8257,8195,8193,8190,8191,8193
54,8241,8146,8191,8192,8189,8190
55,8200,8140,8191,8193,8190,8193
56,8086,8125,8192,8194,8191,8187
57,8131,8191,8194,8190,8194,8192
58,8229,8242,8193,8195,8193,8193
59,8226,8194,8191,8191,8192,8194
60,8160,8214,8194,8192,8194,8190
61,8147,8349,8186,8191,8192,8192
62,8177,8188,8194,8187,8193,8190
63,8147,8050,8189,8194,8192,8193
64,8333,8216,8191,8193,8193,8190
65,8303,8109,8190,8191,8191,8191
66,8175,8006,8189,8192,8187,8190
67,8202,8191,8194,8193,8192,8193
68,8189,8203,8191,8189,8195,8194
69,8089,8297,8193,8191,8194,8192
70,8200,8370,8192,8194,8194,8192
71,8262,8347,8193,8189,8194,8189
72,8145,8247,8192,8193,8192,8191
73,8210,8067,8189,8189,8192,8192
74,8032,8234,8194,8193,8191,8197
75,8190,7972,8191,8192,8191,8190
76,8310,8187,8189,8189,8193,8195
77,8116,8314,8191,8194,8194,8194
78,8275,8034,8195,8191,8192,8193
79,8079,8290,8194,8190,8191,8196
80,8252,8224,8191,8192,8192,8193
81,8300,8100,8191,8194,8193,8193
82,8280,8228,8191,8190,8189,8192
83,8173,8309,8196,8192,8187,8194
84,8075,8120,8193,8193,8191,8194
85,8215,8079,8193,8193,8190,8191
86,8215,8134,8194,8192,8191,8189
87,8241,8096,8192,8191,8192,8192
88,8085,8301,8191,8190,8191,8190
89,8234,8175,8192,8192,8195,8192
90,8158,8211,8192,8190,8193,8194
91,8224,8257,8192,8186,8193,8191
92,8118,8231,8193,8193,8193,8192
93,8140,8296,8192,8194,8190,8192
94,8203,8213,8193,8187,8194,8194
95,8124,8173,8192,8190,8192,8188
96,8274,8095,8192,8193,8193,8191
97,8266,8184,8188,8196,8190,8192
98,8204,8148,8194,8192,8189,8194
99,8195,8307,8193,8191,8194,8191
100,8128,8231,8194,8192,8193,8188
101,8204,8133,8186,8195,8190,8193
102,8242,8209,8196,8191,8190,8191
103,8173,8298,8192,8190,8194,8190
104,8235,8112,8194,8191,8190,8191
105,8237,8230,8190,8190,8195,8192
106,8291,8045,8193,8192,8190,8191
107,8141,7991,8190,8195,8193,8188
108,8106,8146,8191,8193,8191,8194
109,8144,8330,8196,8191,8193,8195
110,8036,8365,8192,8191,8191,8193
111,8210,8101,8192,8189,8192,8190
112,8259,8273,8194,8194,8192,8192
113,8317,8069,8193,8192,8190,8192
114,8181,8399,8192,8192,8193,8193
115,8097,8187,8193,8198,8191,8193
116,8219,8086,8197,8193,8192,8191
117,8068,8245,8192,8190,8190,8192
118,8306,8144,8192,8191,8187,8193
119,8238,8182,8194,8194,8192,8195
120,8203,8086,8194,8192,8197,8193
121,8124,8237,8194,8189,8194,8194
122,8233,8329,8193,8194,8192,8192
123,8153,8230,8190,8191,8191,8195
124,8165,8184,8195,8196,8192,8193
125,8396,8058,8190,8194,8193,8190
126,8043,8029,8193,8191,8190,8195
127,8153,8225,8190,8195,8194,8193
128,8210,8229,8192,8192,8193,8191
129,8192,8312,8193,8194,8193,8191
130,8133,8101,8193,8193,8193,8193
131,8257,8299,8193,8190,8192,8193
132,8216,8274,8195,8191,8193,8192
133,8243,8077,8193,8194,8193,8193
134,8219,8216,8192,8191,8191,8195
135,8245,8077,8194,8191,8191,8194
136,8197,8379,8194,8190,8192,8192
137,8073,8246,8190,8193,8195,8194
138,8293,8107,8193,8196,8190,8190
