# Hardware: Arduino UNO R4 Minima + 1x BioAmp EXG Pill
# Sampling Rate: 500 Hz  |  ADC: 14-bit (0-16383)  |  Baud: 230400
# Electrode plan: 1 bipolar channel (3 electrodes: +, -, ref)
#   Channel1 = ONE trapezius EMG (L or R — verify with hardware test)
#   Channel2-6 = unused firmware slots
# NOTE: Firmware hardcodes NUM_CHANNELS=6 — always 6 columns regardless.
#
Counter,Channel1,Channel2,Channel3,Channel4,Channel5,Channel6
0,8105,8194,8190,8190,8191,8193
1,8181,8191,8192,8189,8191,8193
2,8267,8192,8192,8189,8188,8192
3,8320,8192,8193,8193,8191,8189
4,8242,8191,8189,8192,8193,8191
5,8044,8189,8193,8193,8189,8194
6,8222,8193,8187,8193,8194,8190
7,8117,8192,8191,8193,8193,8187
8,8237,8193,8191,8193,8191,8192
9,8219,8191,8193,8192,8192,8192
10,8127,8194,8192,8190,8195,8192
11,8307,8190,8189,8194,8193,8193
12,8070,8195,8190,8191,8192,8193
13,8123,8189,8192,8190,8192,8193
14,8210,8193,8192,8192,8192,8194
15,8300,8193,8191,8190,8191,8189
16,8148,8190,8191,8191,8188,8193
17,8060,8193,8193,8193,8196,8193
18,8291,8195,8191,8193,8192,8190
19,8319,8188,8192,8190,8193,8189
20,8292,8193,8196,8191,8192,8191
21,8152,8187,8189,8194,8191,8191
22,8128,8190,8188,8193,8192,8194
23,8243,8195,8194,8196,8189,8191
24,8063,8191,8191,8194,8197,8190
25,8138,8190,8191,8194,8190,8191
26,8262,8192,8190,8189,8190,8194
27,8188,8196,8191,8194,8191,8192
28,8183,8188,8195,8192,8195,8192
29,8159,8190,8194,8191,8192,8192
30,8109,8195,8194,8192,8190,8195
31,8174,8196,8189,8194,8195,8191
32,8345,8192,8190,8193,8193,8195
33,8154,8190,8186,8190,8193,8192
34,8247,8196,8190,8193,8193,8192
35,8244,8195,8194,8191,8197,8197
36,8170,8193,8193,8192,8196,8190
37,8193,8190,8192,8191,8191,8191
38,8138,8192,8192,8192,8195,8190
39,8179,8192,8191,8194,8193,8194
40,8245,8193,8192,8190,8193,8195
41,8189,8195,8194,8196,8189,8195
42,8136,8194,8189,8188,8192,8194
43,8201,8190,8193,8191,8190,8192
44,8222,8195,8194,8193,8194,8191
45,8079,8193,8191,8193,8194,8189
46,8240,8193,8193,8192,8188,8196
47,8247,8195,8198,8192,8192,8193
48,8148,8190,8192,8193,8194,8191
49,8307,8192,8193,8192,8192,8195
50,8048,8191,8191,8195,8193,8190
51,8173,8189,8192,8194,8193,8193
52,8210,8193,8193,8194,8193,8192
53,8196,8197,8192,8190,8191,8193
54,8312,8188,8190,8192,8190,8192
55,8173,8192,8192,8191,8190,8189
56,8120,8193,8195,8190,8193,8192
57,8257,8192,8193,8193,8192,8194
58,8124,8192,8194,8191,8192,8192
59,8203,8189,8192,8193,8191,8194
60,8254,8192,8193,8190,8191,8190
61,8183,8190,8193,8195,8194,8192
62,8198,8188,8190,8190,8191,8191
63,8167,8194,8193,8192,8189,8193
64,8134,8194,8190,8194,8193,8192
